Temp_0,Weather_0,Wind Speed_0,Wind Direction_0,Humidity_0,Barometer_0,RainValue_0,HailValue_0,ThunderValue_0,Time_0,Temp_1,Weather_1,Wind Speed_1,Wind Direction_1,Humidity_1,Barometer_1,RainValue_1,HailValue_1,ThunderValue_1,Time_1,Temp_2,Weather_2,Wind Speed_2,Wind Direction_2,Humidity_2,Barometer_2,RainValue_2,HailValue_2,ThunderValue_2,Time_2,Temp_3,Weather_3,Wind Speed_3,Wind Direction_3,Humidity_3,Barometer_3,RainValue_3,HailValue_3,ThunderValue_3,Time_3,Temp_4,Weather_4,Wind Speed_4,Wind Direction_4,Humidity_4,Barometer_4,RainValue_4,HailValue_4,ThunderValue_4,Time_4,Temp_5,Weather_5,Wind Speed_5,Wind Direction_5,Humidity_5,Barometer_5,RainValue_5,HailValue_5,ThunderValue_5,Time_5,Temp_6,Weather_6,Wind Speed_6,Wind Direction_6,Humidity_6,Barometer_6,RainValue_6,HailValue_6,ThunderValue_6,Time_6,Temp_7,Weather_7,Wind Speed_7,Wind Direction_7,Humidity_7,Barometer_7,RainValue_7,HailValue_7,ThunderValue_7,Time_7,Temp_8,Weather_8,Wind Speed_8,Wind Direction_8,Humidity_8,Barometer_8,RainValue_8,HailValue_8,ThunderValue_8,Time_8,Temp_9,Weather_9,Wind Speed_9,Wind Direction_9,Humidity_9,Barometer_9,RainValue_9,HailValue_9,ThunderValue_9,Time_9,Temp_10,Weather_10,Wind Speed_10,Wind Direction_10,Humidity_10,Barometer_10,RainValue_10,HailValue_10,ThunderValue_10,Time_10,Temp_11,Weather_11,Wind Speed_11,Wind Direction_11,Humidity_11,Barometer_11,RainValue_11,HailValue_11,ThunderValue_11,Time_11,Temp_12,Weather_12,Wind Speed_12,Wind Direction_12,Humidity_12,Barometer_12,RainValue_12,HailValue_12,ThunderValue_12,Time_12,Temp_13,Weather_13,Wind Speed_13,Wind Direction_13,Humidity_13,Barometer_13,RainValue_13,HailValue_13,ThunderValue_13,Time_13,Temp_14,Weather_14,Wind Speed_14,Wind Direction_14,Humidity_14,Barometer_14,RainValue_14,HailValue_14,ThunderValue_14,Time_14,Temp_15,Weather_15,Wind Speed_15,Wind Direction_15,Humidity_15,Barometer_15,RainValue_15,HailValue_15,ThunderValue_15,Time_15,Temp_16,Weather_16,Wind Speed_16,Wind Direction_16,Humidity_16,Barometer_16,RainValue_16,HailValue_16,ThunderValue_16,Time_16,Temp_17,Weather_17,Wind Speed_17,Wind Direction_17,Humidity_17,Barometer_17,RainValue_17,HailValue_17,ThunderValue_17,Time_17,Temp_18,Weather_18,Wind Speed_18,Wind Direction_18,Humidity_18,Barometer_18,RainValue_18,HailValue_18,ThunderValue_18,Time_18,Temp_19,Weather_19,Wind Speed_19,Wind Direction_19,Humidity_19,Barometer_19,RainValue_19,HailValue_19,ThunderValue_19,Time_19,Temp_20,Weather_20,Wind Speed_20,Wind Direction_20,Humidity_20,Barometer_20,RainValue_20,HailValue_20,ThunderValue_20,Time_20,Temp_21,Weather_21,Wind Speed_21,Wind Direction_21,Humidity_21,Barometer_21,RainValue_21,HailValue_21,ThunderValue_21,Time_21,Temp_22,Weather_22,Wind Speed_22,Wind Direction_22,Humidity_22,Barometer_22,RainValue_22,HailValue_22,ThunderValue_22,Time_22,Temp_23,Weather_23,Wind Speed_23,Wind Direction_23,Humidity_23,Barometer_23,RainValue_23,HailValue_23,ThunderValue_23,Time_23,date,outage_flag
11.0,1,7.0,270.0,0.58,1007.0,0.0,0,0,"00:00 Mon, 20 Apr",10.0,1,9.0,300.0,0.58,1007.0,0.0,0,0,01:00,9.0,1,6.0,340.0,0.62,1008.0,0.0,0,0,02:00,7.0,3,6.0,320.0,0.71,1008.0,0.0,0,0,03:00,7.0,3,6.0,340.0,0.71,1008.0,0.0,0,0,04:00,8.0,1,9.0,330.0,0.66,1008.0,0.0,0,0,05:00,8.0,1,4.0,330.0,0.66,1009.0,0.0,0,0,06:00,10.0,1,11.0,330.0,0.54,1009.0,0.0,0,0,07:00,12.0,1,19.0,310.0,0.47,1009.0,0.0,0,0,08:00,13.0,4,9.0,330.0,0.51,1010.0,0.0,0,0,09:00,15.0,4,9.0,20.0,0.45,1010.0,0.0,0,0,10:00,17.0,2,20.0,300.0,0.37,1010.0,0.0,0,0,11:00,18.0,2,22.0,290.0,0.37,1010.0,0.0,0,0,12:00,19.0,2,15.0,290.0,0.3,1009.0,0.0,0,0,13:00,18.0,2,13.0,270.0,0.34,1009.0,0.0,0,0,14:00,17.0,2,7.0,260.0,0.39,1009.0,0.0,0,0,15:00,16.0,4,7.0,330.0,0.45,1010.0,0.0,0,0,16:00,16.0,4,11.0,330.0,0.42,1010.0,0.0,0,0,17:00,13.0,4,6.0,320.0,0.55,1011.0,0.0,0,0,18:00,9.0,1,4.0,110.0,0.71,1012.0,0.0,0,0,19:00,8.0,1,6.0,290.0,0.71,1012.0,0.0,0,0,20:00,11.0,1,11.0,290.0,0.54,1013.0,0.0,0,0,21:00,6.0,3,4.0,310.0,0.76,1013.0,0.0,0,0,22:00,6.0,3,2.0,320.0,0.76,1013.0,0.0,0,0,23:00,2020-04-20,0
13.0,5,13.0,70.0,0.72,1019.0,0.0,0,0,"00:00 Mon, 5 Dec",13.0,5,11.0,60.0,0.72,1019.0,0.0,0,0,01:00,12.0,5,11.0,40.0,0.77,1019.0,0.0,0,0,02:00,12.0,5,7.0,50.0,0.82,1019.0,0.0,0,0,03:00,11.0,4,9.0,20.0,0.88,1019.0,0.0,0,0,04:00,10.0,7,6.0,40.0,0.88,1019.0,0.0,0,0,05:00,10.0,6,2.0,20.0,0.88,1020.0,0.0,0,0,06:00,11.0,6,9.0,40.0,0.88,1020.0,0.0,0,0,07:00,13.0,5,7.0,30.0,0.77,1021.0,0.0,0,0,08:00,15.0,6,15.0,40.0,0.68,1021.0,0.0,0,0,09:00,16.0,8,20.0,60.0,0.55,1020.0,0.0,0,0,10:00,17.0,3,28.0,70.0,0.45,1020.0,0.0,0,0,11:00,18.0,3,32.0,80.0,0.52,1020.0,0.0,0,0,12:00,18.0,7,32.0,70.0,0.6,1019.0,0.0,0,0,13:00,18.0,7,37.0,70.0,0.6,1018.0,0.0,0,0,14:00,18.0,3,37.0,60.0,0.56,1018.0,0.0,0,0,15:00,17.0,3,41.0,60.0,0.56,1018.0,0.0,0,0,16:00,18.0,3,39.0,70.0,0.52,1017.0,0.0,0,0,17:00,17.0,3,39.0,70.0,0.59,1016.0,0.0,0,0,18:00,16.0,2,41.0,80.0,0.63,1015.0,0.0,0,0,19:00,15.0,2,37.0,70.0,0.77,1015.0,0.0,0,0,20:00,14.0,7,30.0,80.0,0.82,1015.0,0.0,0,0,21:00,14.0,7,28.0,80.0,0.88,1016.0,0.0,0,0,22:00,14.0,7,26.0,80.0,0.88,1015.0,0.0,0,0,23:00,2016-12-05,0
14.0,5,19.0,90.0,0.88,1022.0,0.0,0,0,"00:00 Thu, 2 Nov",14.0,5,11.0,70.0,0.88,1022.0,0.0,0,0,01:00,13.0,1,15.0,70.0,0.94,1021.0,0.0,0,0,02:00,13.0,1,9.0,80.0,0.94,1021.0,0.0,0,0,03:00,11.0,2,6.0,10.0,0.94,1020.0,0.0,0,0,04:00,11.0,2,6.0,330.0,0.94,1020.0,0.0,0,0,05:00,10.0,2,6.0,320.0,0.94,1020.0,0.0,0,0,06:00,9.0,2,4.0,310.0,1.0,1020.0,0.0,0,0,07:00,13.0,4,4.0,10.0,1.0,1020.0,0.0,0,0,08:00,15.0,5,7.0,20.0,0.94,1019.0,0.0,0,0,09:00,19.0,5,7.0,50.0,0.68,1019.0,0.0,0,0,10:00,21.0,3,6.0,50.0,0.46,1018.0,0.0,0,0,11:00,22.0,3,9.0,40.0,0.47,1017.0,0.0,0,0,12:00,22.0,5,20.0,80.0,0.47,1016.0,0.0,0,0,13:00,22.0,3,22.0,80.0,0.5,1015.0,0.0,0,0,14:00,22.0,3,26.0,80.0,0.5,1014.0,0.0,0,0,15:00,22.0,3,28.0,70.0,0.47,1014.0,0.0,0,0,16:00,20.0,3,24.0,60.0,0.56,1013.0,0.0,0,0,17:00,19.0,3,22.0,70.0,0.6,1012.0,0.0,0,0,18:00,18.0,3,15.0,90.0,0.68,1012.0,0.0,0,0,19:00,16.0,1,13.0,70.0,0.72,1012.0,0.0,0,0,20:00,14.0,1,4.0,40.0,0.82,1012.0,0.0,0,0,21:00,14.0,1,4.0,30.0,0.77,1012.0,0.0,0,0,22:00,14.0,1,7.0,30.0,0.77,1011.0,0.0,0,0,23:00,2017-11-02,0
59.0,4,9.0,60.0,0.82,30.33,0.0,0,0,"12:00 am Fri, Nov 24",59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,59.0,4,10.0,60.0,0.82,30.33,0.0,0,0,12:30 am,2017-11-24,0
10.0,1,4.0,70.0,0.88,1008.0,0.0,0,0,"00:00 Wed, 10 Oct",9.0,1,6.0,30.0,0.94,1008.0,0.0,0,0,01:00,6.0,5,6.0,340.0,1.0,1007.0,0.0,0,0,02:00,3.0,4,4.0,290.0,0.93,1006.0,0.0,0,0,03:00,3.0,5,9.0,330.0,1.0,1005.0,0.0,0,0,04:00,3.0,5,2.0,280.0,1.0,1005.0,0.0,0,0,05:00,6.0,11,6.0,10.0,1.0,1004.0,0.0,0,0,06:00,8.0,1,19.0,30.0,0.76,1004.0,0.0,0,0,07:00,13.0,3,20.0,330.0,0.47,1004.0,0.0,0,0,08:00,14.0,3,24.0,320.0,0.41,1004.0,0.0,0,0,09:00,15.0,3,24.0,310.0,0.39,1003.0,0.0,0,0,10:00,15.0,3,22.0,330.0,0.42,1003.0,0.0,0,0,11:00,16.0,3,22.0,320.0,0.42,1003.0,0.0,0,0,12:00,18.0,7,39.0,310.0,0.37,1003.0,0.0,0,0,13:00,19.0,7,37.0,310.0,0.35,1002.0,0.0,0,0,13:30,19.0,7,35.0,300.0,0.37,1002.0,0.0,0,0,14:30,19.0,7,26.0,300.0,0.37,1003.0,0.0,0,0,15:30,19.0,7,24.0,300.0,0.37,1003.0,0.0,0,0,16:30,15.0,1,41.0,230.0,0.68,1005.0,0.0,0,0,17:30,11.0,10,43.0,220.0,0.82,1007.0,0.0,0,0,18:30,10.0,10,33.0,220.0,0.82,1009.0,0.0,0,0,19:30,9.0,11,28.0,210.0,0.87,1009.0,0.0,0,0,20:30,9.0,11,22.0,210.0,0.82,1011.0,0.0,0,0,21:30,9.0,9,19.0,210.0,0.82,1012.0,0.0,0,0,22:30,2018-10-10,0
11.0,5,7.0,260.0,0.94,1019.0,0.0,0,0,12:00 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,11.0,7,7.0,250.0,0.94,1019.0,0.0,0,0,12:30 a.m.,2023-03-06,0
11.0,3,7.0,190.0,0.82,1018.0,0.0,0,0,12:00 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,11.0,1,6.0,180.0,0.82,1018.0,0.0,0,0,12:30 a.m.,2023-05-28,0
16.0,1,4.0,10.0,0.94,1007.0,0.0,0,0,"00:00 Mon, 25 Dec",14.0,2,7.0,40.0,0.94,1006.0,0.0,0,0,01:00,14.0,2,6.0,40.0,1.0,1006.0,0.0,0,0,02:00,11.0,2,4.0,200.0,1.0,1005.0,0.0,0,0,03:00,14.0,1,4.0,30.0,1.0,1004.0,0.0,0,0,04:00,12.0,1,0.0,0.0,1.0,1004.0,0.0,0,0,05:00,11.0,3,2.0,310.0,1.0,1004.0,0.0,0,0,06:00,13.0,1,2.0,20.0,1.0,1004.0,0.0,0,0,07:00,18.0,4,4.0,80.0,0.78,1004.0,0.0,0,0,08:00,23.0,4,6.0,350.0,0.38,1004.0,0.0,0,0,09:00,26.0,6,20.0,310.0,0.24,1003.0,0.0,0,0,10:00,27.0,6,30.0,300.0,0.2,1003.0,0.0,0,0,11:00,29.0,6,24.0,300.0,0.18,1002.0,0.0,0,0,12:00,30.0,6,26.0,290.0,0.17,1002.0,0.0,0,0,13:00,30.0,6,33.0,290.0,0.15,1001.0,0.0,0,0,14:00,30.0,6,35.0,300.0,0.18,1001.0,0.0,0,0,15:00,30.0,6,30.0,310.0,0.2,1001.0,0.0,0,0,16:00,27.0,6,35.0,300.0,0.24,1001.0,0.0,0,0,17:00,26.0,6,20.0,310.0,0.28,1001.0,0.0,0,0,18:00,24.0,4,19.0,300.0,0.36,1001.0,0.0,0,0,19:00,23.0,4,24.0,310.0,0.41,1001.0,0.0,0,0,20:00,16.0,1,26.0,220.0,0.83,1003.0,0.0,0,0,21:00,15.0,5,32.0,200.0,0.82,1004.0,0.0,0,0,22:00,15.0,5,28.0,230.0,0.72,1005.0,0.0,0,0,23:00,2017-12-25,0
10.0,2,9.0,20.0,0.67,1011.0,0.0,0,0,"00:00 Fri, 12 Jun",12.0,2,15.0,0.0,0.63,1011.0,0.0,0,0,01:00,10.0,2,6.0,10.0,0.67,1011.0,0.0,0,0,02:00,10.0,2,9.0,310.0,0.67,1011.0,0.0,0,0,03:00,9.0,2,7.0,150.0,0.71,1012.0,0.0,0,0,04:00,11.0,2,13.0,240.0,0.62,1013.0,0.0,0,0,05:00,9.0,2,24.0,200.0,0.82,1014.0,0.0,0,0,06:00,8.0,2,26.0,210.0,0.82,1016.0,0.0,0,0,07:00,9.0,7,19.0,180.0,0.76,1018.0,0.0,0,0,08:00,9.0,4,26.0,170.0,0.71,1021.0,0.0,0,0,09:00,10.0,4,15.0,170.0,0.67,1022.0,0.0,0,0,10:00,9.0,4,22.0,190.0,0.76,1023.0,0.0,0,0,11:00,9.0,4,22.0,200.0,0.71,1024.0,0.0,0,0,12:00,10.0,5,26.0,200.0,0.62,1024.0,0.0,0,0,13:00,10.0,4,28.0,200.0,0.58,1025.0,0.0,0,0,14:00,10.0,4,24.0,190.0,0.54,1026.0,0.0,0,0,15:00,9.0,4,17.0,200.0,0.58,1027.0,0.0,0,0,16:00,8.0,3,13.0,200.0,0.66,1028.0,0.0,0,0,17:00,8.0,4,9.0,220.0,0.66,1028.0,0.0,0,0,18:00,7.0,4,6.0,280.0,0.71,1029.0,0.0,0,0,19:00,7.0,4,6.0,280.0,0.71,1030.0,0.0,0,0,19:30,7.0,3,6.0,300.0,0.71,1031.0,0.0,0,0,20:30,7.0,3,7.0,310.0,0.81,1032.0,0.0,0,0,21:30,7.0,4,6.0,320.0,0.81,1032.0,0.0,0,0,22:30,2020-06-12,0
2.0,1,7.0,330.0,1.0,1032.0,0.0,0,0,12:00 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,1.0,1,4.0,300.0,1.0,1032.0,0.0,0,0,12:30 a.m.,2021-05-02,0
