Time_0,Temp_0,Weather_0,Wind Speed_0,Wind Direction_0,Humidity_0,Barometer_0,Time_1,Temp_1,Weather_1,Wind Speed_1,Wind Direction_1,Humidity_1,Barometer_1,Time_2,Temp_2,Weather_2,Wind Speed_2,Wind Direction_2,Humidity_2,Barometer_2,Time_3,Temp_3,Weather_3,Wind Speed_3,Wind Direction_3,Humidity_3,Barometer_3,Time_4,Temp_4,Weather_4,Wind Speed_4,Wind Direction_4,Humidity_4,Barometer_4,Time_5,Temp_5,Weather_5,Wind Speed_5,Wind Direction_5,Humidity_5,Barometer_5,Time_6,Temp_6,Weather_6,Wind Speed_6,Wind Direction_6,Humidity_6,Barometer_6,Time_7,Temp_7,Weather_7,Wind Speed_7,Wind Direction_7,Humidity_7,Barometer_7,Time_8,Temp_8,Weather_8,Wind Speed_8,Wind Direction_8,Humidity_8,Barometer_8,Time_9,Temp_9,Weather_9,Wind Speed_9,Wind Direction_9,Humidity_9,Barometer_9,Time_10,Temp_10,Weather_10,Wind Speed_10,Wind Direction_10,Humidity_10,Barometer_10,Time_11,Temp_11,Weather_11,Wind Speed_11,Wind Direction_11,Humidity_11,Barometer_11,Time_12,Temp_12,Weather_12,Wind Speed_12,Wind Direction_12,Humidity_12,Barometer_12,Time_13,Temp_13,Weather_13,Wind Speed_13,Wind Direction_13,Humidity_13,Barometer_13,Time_14,Temp_14,Weather_14,Wind Speed_14,Wind Direction_14,Humidity_14,Barometer_14,Time_15,Temp_15,Weather_15,Wind Speed_15,Wind Direction_15,Humidity_15,Barometer_15,Time_16,Temp_16,Weather_16,Wind Speed_16,Wind Direction_16,Humidity_16,Barometer_16,Time_17,Temp_17,Weather_17,Wind Speed_17,Wind Direction_17,Humidity_17,Barometer_17,Time_18,Temp_18,Weather_18,Wind Speed_18,Wind Direction_18,Humidity_18,Barometer_18,Time_19,Temp_19,Weather_19,Wind Speed_19,Wind Direction_19,Humidity_19,Barometer_19,Time_20,Temp_20,Weather_20,Wind Speed_20,Wind Direction_20,Humidity_20,Barometer_20,Time_21,Temp_21,Weather_21,Wind Speed_21,Wind Direction_21,Humidity_21,Barometer_21,Time_22,Temp_22,Weather_22,Wind Speed_22,Wind Direction_22,Humidity_22,Barometer_22,Time_23,Temp_23,Weather_23,Wind Speed_23,Wind Direction_23,Humidity_23,Barometer_23,outage_flag
9:53 a.m.,24.0,6.0,15.0,340.0,64%,1011 mbar,10:53 a.m.,24.0,2.0,24.0,350.0,60%,1011 mbar,11:53 a.m.,24.0,1.0,24.0,340.0,56%,1010 mbar,12:53 p.m.,26.0,6.0,35.0,330.0,48%,1009 mbar,1:53 p.m.,26.0,6.0,24.0,340.0,42%,1009 mbar,2:53 p.m.,26.0,6.0,30.0,340.0,42%,1009 mbar,3:53 p.m.,25.0,6.0,28.0,330.0,39%,1009 mbar,4:53 p.m.,24.0,6.0,26.0,350.0,45%,1010 mbar,5:53 p.m.,23.0,6.0,15.0,340.0,50%,1011 mbar,6:53 p.m.,22.0,5.0,7.0,340.0,57%,1011 mbar,7:53 p.m.,22.0,5.0,13.0,330.0,59%,1012 mbar,8:53 p.m.,22.0,5.0,11.0,330.0,55%,1012 mbar,9:53 p.m.,21.0,5.0,9.0,340.0,53%,1013 mbar,10:53 p.m.,21.0,5.0,11.0,350.0,55%,1013 mbar,11:53 p.m.,21.0,5.0,6.0,340.0,57%,1013 mbar,"12:53 a.m. Sat, 4 Jan",21.0,3.0,9.0,0.0,61%,1013 mbar,1:53 a.m.,21.0,3.0,13.0,20.0,49%,1012 mbar,2:53 a.m.,18.0,3.0,6.0,270.0,66%,1012 mbar,3:53 a.m.,19.0,3.0,,0.0,61%,1012 mbar,4:53 a.m.,21.0,3.0,9.0,10.0,49%,1013 mbar,5:53 a.m.,20.0,3.0,9.0,0.0,49%,1013 mbar,6:53 a.m.,21.0,3.0,6.0,20.0,49%,1014 mbar,7:53 a.m.,21.0,1.0,6.0,20.0,49%,1014 mbar,8:53 a.m.,22.0,1.0,11.0,0.0,46%,1015 mbar,0
12:53 p.m.,27.0,4.0,13.0,60.0,54%,1016 mbar,1:53 p.m.,28.0,4.0,28.0,50.0,46%,1015 mbar,2:53 p.m.,28.0,4.0,32.0,70.0,44%,1015 mbar,3:53 p.m.,28.0,4.0,22.0,60.0,43%,1014 mbar,4:53 p.m.,27.0,4.0,26.0,50.0,51%,1014 mbar,5:53 p.m.,26.0,1.0,22.0,60.0,58%,1015 mbar,6:53 p.m.,24.0,2.0,19.0,60.0,67%,1015 mbar,7:53 p.m.,24.0,3.0,17.0,60.0,69%,1016 mbar,8:53 p.m.,24.0,3.0,17.0,50.0,66%,1016 mbar,9:53 p.m.,24.0,3.0,19.0,60.0,69%,1017 mbar,10:53 p.m.,23.0,3.0,15.0,40.0,69%,1017 mbar,11:53 p.m.,23.0,3.0,13.0,60.0,69%,1017 mbar,"12:53 a.m. Mon, 31 Mar",23.0,5.0,17.0,60.0,71%,1016 mbar,1:53 a.m.,23.0,3.0,13.0,110.0,74%,1016 mbar,2:53 a.m.,23.0,5.0,9.0,30.0,76%,1015 mbar,3:53 a.m.,23.0,5.0,9.0,40.0,76%,1014 mbar,4:53 a.m.,23.0,5.0,17.0,60.0,74%,1014 mbar,5:53 a.m.,23.0,2.0,15.0,60.0,79%,1015 mbar,6:53 a.m.,23.0,1.0,20.0,60.0,76%,1016 mbar,7:53 a.m.,23.0,2.0,13.0,80.0,81%,1016 mbar,8:53 a.m.,24.0,1.0,11.0,50.0,79%,1017 mbar,9:53 a.m.,24.0,4.0,19.0,40.0,79%,1017 mbar,10:53 a.m.,26.0,1.0,19.0,60.0,65%,1017 mbar,11:53 a.m.,27.0,1.0,26.0,60.0,58%,1017 mbar,0
4:53 p.m.,29.0,7.0,37.0,80.0,57%,1013 mbar,5:53 p.m.,28.0,7.0,24.0,70.0,65%,1013 mbar,6:53 p.m.,27.0,7.0,19.0,60.0,67%,1013 mbar,7:53 p.m.,27.0,6.0,26.0,70.0,69%,1014 mbar,8:53 p.m.,27.0,6.0,19.0,50.0,71%,1015 mbar,9:53 p.m.,26.0,6.0,26.0,80.0,77%,1015 mbar,10:53 p.m.,26.0,6.0,24.0,80.0,77%,1015 mbar,11:53 p.m.,26.0,6.0,17.0,70.0,79%,1015 mbar,"12:53 a.m. Mon, 21 Jul",26.0,4.0,7.0,90.0,79%,1014 mbar,1:53 a.m.,26.0,4.0,6.0,80.0,82%,1014 mbar,2:53 a.m.,26.0,4.0,,0.0,79%,1014 mbar,3:53 a.m.,26.0,4.0,,0.0,82%,1014 mbar,4:53 a.m.,25.0,4.0,7.0,20.0,88%,1014 mbar,5:53 a.m.,24.0,2.0,,0.0,88%,1014 mbar,6:53 a.m.,25.0,5.0,9.0,330.0,88%,1014 mbar,7:53 a.m.,27.0,5.0,,0.0,74%,1015 mbar,8:53 a.m.,28.0,5.0,7.0,60.0,70%,1015 mbar,9:53 a.m.,29.0,1.0,15.0,140.0,68%,1015 mbar,10:53 a.m.,30.0,1.0,11.0,0.0,65%,1014 mbar,11:53 a.m.,31.0,1.0,9.0,40.0,61%,1014 mbar,12:53 p.m.,29.0,1.0,13.0,150.0,70%,1013 mbar,1:53 p.m.,29.0,1.0,15.0,180.0,70%,1013 mbar,2:53 p.m.,30.0,1.0,15.0,160.0,67%,1013 mbar,3:53 p.m.,29.0,5.0,15.0,170.0,70%,1013 mbar,0
1:53 p.m.,30.0,4.0,20.0,200.0,63%,1016 mbar,2:53 p.m.,29.0,4.0,11.0,160.0,65%,1015 mbar,3:53 p.m.,30.0,1.0,13.0,170.0,63%,1015 mbar,4:53 p.m.,29.0,1.0,11.0,190.0,65%,1015 mbar,5:53 p.m.,28.0,1.0,15.0,40.0,63%,1015 mbar,6:53 p.m.,28.0,2.0,13.0,50.0,63%,1016 mbar,7:53 p.m.,27.0,3.0,7.0,20.0,67%,1016 mbar,8:53 p.m.,27.0,3.0,7.0,10.0,67%,1017 mbar,9:53 p.m.,27.0,2.0,9.0,20.0,69%,1017 mbar,10:53 p.m.,27.0,3.0,17.0,60.0,71%,1017 mbar,11:53 p.m.,27.0,3.0,15.0,60.0,69%,1017 mbar,"12:53 a.m. Tue, 2 Sep",26.0,1.0,13.0,70.0,72%,1016 mbar,1:53 a.m.,26.0,1.0,6.0,330.0,76%,1016 mbar,2:53 a.m.,25.0,1.0,7.0,340.0,79%,1015 mbar,3:53 a.m.,25.0,1.0,6.0,0.0,77%,1015 mbar,4:53 a.m.,24.0,1.0,,0.0,80%,1015 mbar,5:53 a.m.,25.0,1.0,6.0,70.0,77%,1016 mbar,6:53 a.m.,25.0,1.0,7.0,0.0,74%,1016 mbar,7:53 a.m.,27.0,2.0,,0.0,67%,1016 mbar,8:53 a.m.,29.0,2.0,13.0,100.0,59%,1016 mbar,9:53 a.m.,30.0,2.0,17.0,70.0,53%,1016 mbar,10:53 a.m.,31.0,2.0,13.0,80.0,48%,1016 mbar,11:53 a.m.,32.0,2.0,20.0,60.0,43%,1015 mbar,12:53 p.m.,32.0,2.0,24.0,60.0,46%,1015 mbar,0
6:53 p.m.,25.0,3.0,6.0,350.0,64%,1015 mbar,7:53 p.m.,24.0,2.0,9.0,10.0,72%,1015 mbar,8:53 p.m.,23.0,3.0,,0.0,74%,1016 mbar,9:53 p.m.,23.0,3.0,9.0,340.0,74%,1016 mbar,10:53 p.m.,22.0,3.0,7.0,350.0,76%,1016 mbar,11:53 p.m.,22.0,3.0,6.0,0.0,78%,1016 mbar,"12:53 a.m. Mon, 22 Dec",23.0,6.0,6.0,0.0,76%,1016 mbar,1:53 a.m.,22.0,6.0,7.0,10.0,81%,1016 mbar,2:53 a.m.,21.0,6.0,7.0,340.0,84%,1015 mbar,3:53 a.m.,21.0,6.0,6.0,300.0,84%,1015 mbar,4:53 a.m.,21.0,6.0,11.0,320.0,84%,1015 mbar,5:53 a.m.,22.0,6.0,11.0,320.0,81%,1015 mbar,6:53 a.m.,22.0,6.0,11.0,320.0,81%,1015 mbar,7:53 a.m.,22.0,2.0,17.0,0.0,84%,1016 mbar,8:53 a.m.,21.0,7.0,17.0,310.0,93%,1017 mbar,9:53 a.m.,22.0,1.0,13.0,340.0,90%,1017 mbar,10:53 a.m.,22.0,2.0,7.0,320.0,90%,1017 mbar,11:53 a.m.,23.0,1.0,15.0,350.0,84%,1016 mbar,12:34 p.m.,23.0,3.0,22.0,320.0,78%,1016 mbar,12:53 p.m.,23.0,5.0,19.0,330.0,79%,1016 mbar,1:53 p.m.,23.0,1.0,13.0,20.0,71%,1015 mbar,2:53 p.m.,24.0,1.0,22.0,30.0,67%,1015 mbar,3:53 p.m.,23.0,5.0,17.0,0.0,71%,1015 mbar,4:53 p.m.,23.0,5.0,20.0,10.0,71%,1016 mbar,0
6:53 p.m.,21.0,5.0,20.0,0.0,68%,1015 mbar,7:53 p.m.,21.0,5.0,15.0,350.0,71%,1016 mbar,8:53 p.m.,21.0,6.0,7.0,30.0,71%,1016 mbar,9:53 p.m.,22.0,5.0,15.0,350.0,66%,1017 mbar,10:53 p.m.,22.0,5.0,15.0,0.0,68%,1016 mbar,11:09 p.m.,22.0,7.0,19.0,10.0,69%,1017 mbar,11:53 p.m.,21.0,6.0,11.0,20.0,71%,1016 mbar,"1:00 a.m. Tue, 28 Jan",21.0,2.0,19.0,350.0,73%,1017 mbar,1:10 a.m.,21.0,4.0,17.0,0.0,73%,1017 mbar,1:53 a.m.,21.0,4.0,11.0,350.0,71%,1016 mbar,2:53 a.m.,21.0,4.0,13.0,350.0,73%,1016 mbar,3:53 a.m.,21.0,4.0,13.0,350.0,68%,1016 mbar,4:53 a.m.,21.0,4.0,20.0,0.0,66%,1016 mbar,5:53 a.m.,21.0,4.0,11.0,0.0,68%,1016 mbar,6:53 a.m.,21.0,3.0,19.0,10.0,66%,1017 mbar,7:53 a.m.,22.0,1.0,19.0,20.0,63%,1017 mbar,8:53 a.m.,22.0,1.0,24.0,10.0,61%,1018 mbar,9:53 a.m.,22.0,1.0,24.0,10.0,61%,1019 mbar,10:53 a.m.,23.0,1.0,20.0,20.0,57%,1020 mbar,11:53 a.m.,23.0,1.0,17.0,30.0,57%,1018 mbar,12:53 p.m.,24.0,1.0,26.0,20.0,55%,1017 mbar,1:53 p.m.,25.0,1.0,33.0,40.0,50%,1016 mbar,2:53 p.m.,24.0,1.0,30.0,30.0,58%,1016 mbar,3:53 p.m.,23.0,1.0,35.0,50.0,56%,1015 mbar,0
2:53 p.m.,31.0,1.0,20.0,50.0,50%,1012 mbar,3:53 p.m.,31.0,1.0,26.0,50.0,48%,1012 mbar,4:53 p.m.,29.0,1.0,20.0,30.0,57%,1013 mbar,5:53 p.m.,28.0,1.0,20.0,80.0,61%,1013 mbar,6:53 p.m.,28.0,4.0,19.0,70.0,63%,1014 mbar,7:53 p.m.,27.0,3.0,22.0,90.0,65%,1014 mbar,8:53 p.m.,27.0,3.0,22.0,80.0,67%,1015 mbar,9:53 p.m.,26.0,3.0,6.0,30.0,72%,1015 mbar,10:53 p.m.,27.0,4.0,7.0,350.0,71%,1015 mbar,11:53 p.m.,26.0,4.0,7.0,330.0,74%,1015 mbar,"12:53 a.m. Sat, 4 Oct",26.0,5.0,13.0,320.0,76%,1014 mbar,1:53 a.m.,25.0,5.0,11.0,0.0,79%,1014 mbar,2:53 a.m.,24.0,5.0,9.0,340.0,80%,1013 mbar,3:53 a.m.,24.0,5.0,9.0,340.0,82%,1013 mbar,4:53 a.m.,24.0,2.0,7.0,350.0,82%,1013 mbar,5:53 a.m.,24.0,5.0,7.0,350.0,85%,1014 mbar,6:53 a.m.,24.0,6.0,7.0,0.0,82%,1014 mbar,7:53 a.m.,27.0,6.0,9.0,60.0,67%,1014 mbar,8:53 a.m.,29.0,6.0,13.0,50.0,59%,1014 mbar,9:53 a.m.,30.0,6.0,19.0,80.0,53%,1014 mbar,10:53 a.m.,29.0,4.0,17.0,170.0,61%,1014 mbar,11:53 a.m.,30.0,6.0,17.0,150.0,57%,1013 mbar,12:53 p.m.,29.0,4.0,13.0,100.0,59%,1012 mbar,1:53 p.m.,30.0,6.0,15.0,160.0,59%,1012 mbar,0
3:53 p.m.,29.0,4.0,22.0,70.0,63%,1015 mbar,4:53 p.m.,29.0,4.0,24.0,60.0,63%,1016 mbar,5:53 p.m.,29.0,4.0,26.0,50.0,65%,1016 mbar,6:53 p.m.,28.0,4.0,24.0,60.0,67%,1016 mbar,7:53 p.m.,27.0,3.0,20.0,60.0,69%,1017 mbar,9:53 p.m.,27.0,3.0,17.0,50.0,71%,1018 mbar,10:53 p.m.,26.0,3.0,11.0,60.0,77%,1018 mbar,11:53 p.m.,26.0,3.0,19.0,70.0,72%,1018 mbar,"12:53 a.m. Wed, 23 Jul",26.0,5.0,17.0,80.0,72%,1017 mbar,1:53 a.m.,26.0,2.0,13.0,70.0,74%,1017 mbar,2:53 a.m.,26.0,2.0,6.0,10.0,72%,1016 mbar,4:00 a.m.,26.0,2.0,17.0,60.0,70%,1016 mbar,4:53 a.m.,26.0,3.0,17.0,70.0,67%,1016 mbar,5:53 a.m.,26.0,5.0,32.0,60.0,64%,1016 mbar,6:53 a.m.,26.0,6.0,20.0,70.0,65%,1017 mbar,7:53 a.m.,27.0,6.0,22.0,70.0,60%,1017 mbar,8:53 a.m.,28.0,6.0,17.0,70.0,55%,1018 mbar,9:53 a.m.,29.0,6.0,28.0,50.0,50%,1018 mbar,10:53 a.m.,29.0,5.0,30.0,60.0,53%,1018 mbar,11:53 a.m.,31.0,6.0,30.0,50.0,48%,1017 mbar,12:53 p.m.,31.0,1.0,35.0,70.0,50%,1017 mbar,1:53 p.m.,31.0,6.0,30.0,50.0,46%,1017 mbar,2:53 p.m.,31.0,6.0,32.0,60.0,48%,1016 mbar,3:53 p.m.,30.0,1.0,22.0,60.0,51%,1016 mbar,0
5:53 p.m.,27.0,6.0,13.0,30.0,62%,1016 mbar,6:53 p.m.,27.0,5.0,9.0,30.0,67%,1017 mbar,7:53 p.m.,26.0,5.0,9.0,20.0,72%,1017 mbar,8:53 p.m.,26.0,5.0,11.0,30.0,69%,1018 mbar,9:53 p.m.,26.0,5.0,11.0,40.0,72%,1018 mbar,10:53 p.m.,26.0,5.0,17.0,50.0,74%,1018 mbar,11:53 p.m.,25.0,5.0,6.0,0.0,79%,1017 mbar,"12:53 a.m. Mon, 27 Oct",24.0,2.0,,0.0,85%,1017 mbar,1:53 a.m.,24.0,2.0,11.0,40.0,80%,1016 mbar,2:53 a.m.,23.0,2.0,6.0,320.0,85%,1016 mbar,3:53 a.m.,23.0,2.0,6.0,330.0,82%,1016 mbar,4:53 a.m.,23.0,2.0,,0.0,82%,1016 mbar,5:53 a.m.,23.0,2.0,7.0,300.0,84%,1016 mbar,6:53 a.m.,23.0,1.0,6.0,0.0,82%,1016 mbar,7:53 a.m.,25.0,1.0,,0.0,77%,1016 mbar,8:53 a.m.,27.0,1.0,9.0,0.0,69%,1017 mbar,9:53 a.m.,28.0,1.0,20.0,50.0,61%,1017 mbar,10:53 a.m.,29.0,1.0,15.0,50.0,59%,1016 mbar,11:53 a.m.,28.0,1.0,19.0,80.0,63%,1016 mbar,12:53 p.m.,29.0,1.0,24.0,50.0,59%,1015 mbar,1:53 p.m.,29.0,1.0,26.0,60.0,57%,1015 mbar,2:53 p.m.,29.0,1.0,30.0,70.0,55%,1014 mbar,3:53 p.m.,28.0,1.0,19.0,50.0,58%,1015 mbar,4:53 p.m.,28.0,1.0,15.0,30.0,59%,1015 mbar,0
4:53 a.m.,22.0,3.0,13.0,20.0,73%,1016 mbar,5:53 a.m.,22.0,3.0,13.0,30.0,73%,1016 mbar,6:53 a.m.,22.0,3.0,9.0,0.0,71%,1017 mbar,7:53 a.m.,23.0,4.0,19.0,40.0,64%,1017 mbar,8:53 a.m.,24.0,4.0,28.0,40.0,60%,1017 mbar,9:53 a.m.,26.0,4.0,32.0,40.0,56%,1018 mbar,10:53 a.m.,27.0,4.0,32.0,40.0,52%,1017 mbar,11:53 a.m.,27.0,4.0,26.0,50.0,51%,1017 mbar,12:53 p.m.,27.0,4.0,33.0,50.0,53%,1016 mbar,1:53 p.m.,27.0,4.0,33.0,40.0,51%,1016 mbar,2:53 p.m.,26.0,4.0,37.0,40.0,54%,1015 mbar,3:53 p.m.,26.0,4.0,37.0,40.0,54%,1015 mbar,4:53 p.m.,26.0,4.0,30.0,40.0,52%,1015 mbar,5:53 p.m.,24.0,4.0,24.0,50.0,58%,1016 mbar,6:53 p.m.,23.0,3.0,20.0,40.0,62%,1017 mbar,7:53 p.m.,23.0,2.0,17.0,40.0,62%,1017 mbar,8:53 p.m.,23.0,3.0,11.0,30.0,62%,1018 mbar,9:53 p.m.,23.0,1.0,11.0,40.0,64%,1018 mbar,10:53 p.m.,23.0,3.0,11.0,20.0,64%,1019 mbar,11:53 p.m.,22.0,3.0,15.0,40.0,68%,1019 mbar,"12:53 a.m. Sat, 22 Mar",22.0,3.0,9.0,0.0,66%,1018 mbar,1:53 a.m.,22.0,3.0,9.0,0.0,68%,1018 mbar,2:53 a.m.,22.0,3.0,11.0,20.0,66%,1017 mbar,3:53 a.m.,22.0,3.0,13.0,10.0,71%,1016 mbar,0
