Time,Temp,Weather,Wind Speed,Wind Direction,Humidity,Barometer
"12:53 a.m. Sat, 31 Dec",21.0,2,7.0,50.0,84%,1018 mbar
1:53 a.m.,21.0,2,6.0,0.0,87%,1018 mbar
2:53 a.m.,20.0,2,6.0,330.0,93%,1018 mbar
3:53 a.m.,19.0,2,7.0,350.0,97%,1017 mbar
4:53 a.m.,19.0,2,,0.0,96%,1018 mbar
5:53 a.m.,18.0,2,6.0,310.0,100%,1018 mbar
6:53 a.m.,18.0,2,6.0,300.0,100%,1018 mbar
7:53 a.m.,19.0,2,7.0,350.0,97%,1018 mbar
8:53 a.m.,23.0,2,,0.0,79%,1019 mbar
9:53 a.m.,25.0,2,,0.0,77%,1019 mbar
10:53 a.m.,25.0,2,11.0,180.0,74%,1019 mbar
11:53 a.m.,26.0,2,13.0,160.0,71%,1018 mbar
12:53 p.m.,27.0,3,15.0,160.0,65%,1017 mbar
2:53 p.m.,26.0,3,17.0,220.0,72%,1016 mbar
3:53 p.m.,26.0,1,17.0,220.0,74%,1016 mbar
4:53 p.m.,25.0,3,13.0,230.0,69%,1017 mbar
5:53 p.m.,24.0,1,11.0,240.0,74%,1017 mbar
6:53 p.m.,23.0,2,,0.0,79%,1018 mbar
7:53 p.m.,23.0,2,6.0,10.0,79%,1018 mbar
8:53 p.m.,22.0,2,6.0,70.0,81%,1019 mbar
9:53 p.m.,22.0,2,,0.0,84%,1019 mbar
10:53 p.m.,21.0,2,7.0,0.0,87%,1019 mbar
11:53 p.m.,21.0,2,7.0,350.0,90%,1019 mbar
