mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
5.811743093,0.491455002,0.554354692,0.172668581,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.707509881,0.679841897,0.664031621,0.683168317,0.697029703,0.704950495,0.685148515,0.687128713,0.706930693,0.693069307,0.690880914,0.013129493,11,0.792134831,0.777472527,0.769647696,0.779005525,0.791268759,0.795610425,0.78308322,0.77994429,0.798913043,0.789687924,0.785676824,0.008782237,11
4.793586612,0.545583253,0.345755577,0.054279259,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.725296443,0.754940711,0.717391304,0.740594059,0.734653465,0.752475248,0.736633663,0.722772277,0.758415842,0.720792079,0.736396509,0.014217965,10,0.779714739,0.809230769,0.785607196,0.792393027,0.791925466,0.801901743,0.794435858,0.783950617,0.815151515,0.783410138,0.793772107,0.011117555,2
4.420675564,1.155810371,0.350048065,0.091181278,20,rbf,"{'C': 20, 'kernel': 'rbf'}",0.747035573,0.745059289,0.735177866,0.76039604,0.734653465,0.756435644,0.740594059,0.746534653,0.768316832,0.724752475,0.74589559,0.012421223,1,0.794871795,0.797488226,0.793209877,0.803889789,0.786624204,0.801932367,0.793048973,0.799373041,0.819165379,0.782472613,0.797207626,0.009600766,1
4.819965172,0.958853764,0.335921693,0.07365624,30,rbf,"{'C': 30, 'kernel': 'rbf'}",0.747035573,0.735177866,0.735177866,0.754455446,0.730693069,0.75049505,0.744554455,0.748514851,0.762376238,0.716831683,0.74253121,0.012523468,4,0.792207792,0.78525641,0.791277259,0.797385621,0.780645161,0.794788274,0.7936,0.798732171,0.8125,0.773375594,0.791976828,0.01013286,4
3.911562181,0.296810566,0.300121641,0.052823986,40,rbf,"{'C': 40, 'kernel': 'rbf'}",0.764822134,0.731225296,0.741106719,0.766336634,0.726732673,0.756435644,0.744554455,0.752475248,0.744554455,0.720792079,0.744903534,0.014696071,2,0.804597701,0.780645161,0.794992175,0.807189542,0.777419355,0.8,0.7929374,0.8,0.799377916,0.775834658,0.793299391,0.010805792,3
3.707032704,0.755193713,0.291664219,0.04558315,50,rbf,"{'C': 50, 'kernel': 'rbf'}",0.764822134,0.731225296,0.739130435,0.764356436,0.728712871,0.754455446,0.738613861,0.754455446,0.742574257,0.720792079,0.743913826,0.014341398,3,0.803953871,0.779220779,0.79245283,0.804597701,0.777235772,0.798045603,0.787096774,0.801282051,0.796875,0.775834658,0.791659504,0.010553507,5
3.886674595,0.691619604,0.274616361,0.036099041,60,rbf,"{'C': 60, 'kernel': 'rbf'}",0.76284585,0.731225296,0.73715415,0.756435644,0.722772277,0.756435644,0.740594059,0.752475248,0.744554455,0.716831683,0.742132431,0.014533095,7,0.801324503,0.777777778,0.789889415,0.796694215,0.771986971,0.798690671,0.791068581,0.798061389,0.79875195,0.77046549,0.789471096,0.011153354,6
4.261997652,0.432334819,0.284300494,0.036631624,70,rbf,"{'C': 70, 'kernel': 'rbf'}",0.764822134,0.731225296,0.733201581,0.748514851,0.720792079,0.762376238,0.740594059,0.754455446,0.740594059,0.720792079,0.741736782,0.014932987,8,0.8026534,0.778501629,0.786053883,0.788685524,0.769230769,0.803921569,0.791068581,0.799352751,0.794992175,0.77294686,0.788740714,0.011503395,8
4.275836086,0.829872449,0.283256125,0.032818548,80,rbf,"{'C': 80, 'kernel': 'rbf'}",0.768774704,0.733201581,0.723320158,0.744554455,0.726732673,0.762376238,0.738613861,0.756435644,0.742574257,0.726732673,0.742331624,0.01500072,5,0.805970149,0.779050736,0.777070064,0.785357737,0.773026316,0.803921569,0.789808917,0.800648298,0.796238245,0.776699029,0.788779106,0.011661605,7
3.940012908,0.352318767,0.275891948,0.0343435,90,rbf,"{'C': 90, 'kernel': 'rbf'}",0.766798419,0.733201581,0.725296443,0.746534653,0.730693069,0.762376238,0.740594059,0.758415842,0.740594059,0.718811881,0.742331624,0.015313411,5,0.803333333,0.778325123,0.776886035,0.786666667,0.77704918,0.803278689,0.791732909,0.801948052,0.793048973,0.768729642,0.78809986,0.011885256,9
3.425432301,0.588576743,0.150412583,0.045393957,100,rbf,"{'C': 100, 'kernel': 'rbf'}",0.764822134,0.735177866,0.719367589,0.742574257,0.722772277,0.762376238,0.748514851,0.766336634,0.738613861,0.712871287,0.741342699,0.018317167,9,0.801996672,0.779605263,0.772435897,0.783333333,0.769736842,0.803278689,0.799368088,0.80781759,0.791139241,0.762684124,0.787139574,0.015042254,10
