Model,precision,recall,f1-score
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),1.0,1.0,1.0
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922503686401283,0.884589357675233,0.8839989714098317
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8922823463134663,0.8845754758138563,0.8840082749339306
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.9470934449587162,0.8146778712608089,0.8758875621666589
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8374072923215407,0.9545008440896569,0.8921103806530045
KNeighborsClassifier(n_neighbors_2)(weights_distance)(metric_manhattan),0.8845754758138563,0.8845754758138563,0.8845754758138563
