Model,precision,recall,f1-score
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9969897591549334,0.4947405357381093,0.6612918205945625
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9389305149176927,0.9998058108195164,0.968412114605654
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9422165701831698,0.9422165701831698,0.9422165701831698
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.967960137036313,0.7472731732788128,0.8148519676001083
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9455524187299172,0.9422165701831698,0.9333966271895384
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.951276448178162,0.9186617347890508,0.9346698849365008
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9213354675152134,0.9529348323799952,0.9368544521046304
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9357863290154518,0.9357863290154518,0.9357863290154518
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9363059578466876,0.9357982835845232,0.9357621685205656
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9363290298721594,0.9357863290154518,0.9357677623684886
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9512909321296252,0.9189009886040914,0.9347959146665604
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.921549073634906,0.9529461009640456,0.9369656018953212
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9359040813532348,0.9359040813532348,0.9359040813532348
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9364200028822656,0.9359235447840686,0.9358807582809407
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9364497930527828,0.9359040813532348,0.9358859429795524
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9515185609680163,0.9189167714856804,0.934916000619918
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9215622976780296,0.953168931964294,0.9370818612093654
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.936021883629573,0.936021883629573,0.936021883629573
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9365404293230232,0.9360428517249872,0.9359989309146416
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9365710500292052,0.936021883629573,0.93600377452219
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9512512947670552,0.9180967534063196,0.9343639230996752
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9208357973908764,0.9529307134325176,0.9365929712178628
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.935503637954356,0.935503637954356,0.935503637954356
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9360435460789658,0.9355137334194183,0.935478447158769
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9360650091602984,0.935503637954356,0.9354841743755417
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9509332160507628,0.9181941812900822,0.9342673090327048
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9208758203272752,0.9525914154758066,0.9364557059439628
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.935385891165301,0.935385891165301,0.935385891165301
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.935904518189019,0.9353927983829444,0.9353615074883336
RandomForestClassifier(n_estimators_300)(random_state_42)(n_jobs_-1),0.9359228329991106,0.935385891165301,0.9353672575358296
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_100)(n_jobs_None)(oob_score_False)(random_state_None)(verbose_0)(warm_start_False),0.9527901392826944,0.919104311328148,0.935621735188482
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_100)(n_jobs_None)(oob_score_False)(random_state_None)(verbose_0)(warm_start_False),0.9218309892081904,0.9544499293576124,0.9378350677427626
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_100)(n_jobs_None)(oob_score_False)(random_state_None)(verbose_0)(warm_start_False),0.9367521073723316,0.9367521073723316,0.9367521073723316
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_100)(n_jobs_None)(oob_score_False)(random_state_None)(verbose_0)(warm_start_False),0.9373105642454423,0.9367771203428802,0.9367284014656224
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_100)(n_jobs_None)(oob_score_False)(random_state_None)(verbose_0)(warm_start_False),0.937344642564182,0.9367521073723316,0.936732945696114
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_300)(n_jobs_-1)(oob_score_False)(random_state_42)(verbose_0)(warm_start_False),0.953474736282378,0.9172042534245096,0.9349744875283218
RandomForestClassifier(bootstrap_True)(ccp_alpha_0.0)(class_weight_None)(criterion_gini)(max_depth_None)(max_features_sqrt)(max_leaf_nodes_None)(max_samples_None)(min_impurity_decrease_0.0)(min_samples_leaf_1)(min_samples_split_2)(min_weight_fraction_leaf_0.0)(monotonic_cst_None)(n_estimators_300)(n_jobs_-1)(oob_score_False)(random_state_42)(verbose_0)(warm_start_False),0.9202141837218594,0.9552472586921968,0.937390277921676
