Model,precision,recall,f1-score
SVC,0.8059602482027775,0.3123705208266215,0.4491584779708969
SVC,0.6737862177823326,0.9494350296593488,0.7877247948687536
SVC,0.6938539506124525,0.6938539506124525,0.6938539506124525
SVC,0.739873232992555,0.6309027752429851,0.6184416364198253
SVC,0.7283057716097825,0.6938539506124525,0.6524011297027517
SVC,0.7182500997312791,0.5628064991958249,0.6305522539583746
SVC,0.7446523587675037,0.8524722416580796,0.7946616131525738
SVC,0.7365894415528509,0.7365894415528509,0.7365894415528509
SVC,0.7314512292493914,0.7076393704269522,0.7126069335554741
SVC,0.735368915145048,0.7365894415528509,0.7296160058174621
SVC(kernel_rbf)(C_1),0.8059602482027775,0.3123705208266215,0.4491584779708969
SVC(kernel_rbf)(C_1),0.6737862177823326,0.9494350296593488,0.7877247948687536
SVC(kernel_rbf)(C_1),0.6938539506124525,0.6938539506124525,0.6938539506124525
SVC(kernel_rbf)(C_1),0.739873232992555,0.6309027752429851,0.6184416364198253
SVC(kernel_rbf)(C_1),0.7283057716097825,0.6938539506124525,0.6524011297027517
SVC(kernel_rbf)(C_10),0.7182500997312791,0.5628064991958249,0.6305522539583746
SVC(kernel_rbf)(C_10),0.7446523587675037,0.8524722416580796,0.7946616131525738
SVC(kernel_rbf)(C_10),0.7365894415528509,0.7365894415528509,0.7365894415528509
SVC(kernel_rbf)(C_10),0.7314512292493914,0.7076393704269522,0.7126069335554741
SVC(kernel_rbf)(C_10),0.735368915145048,0.7365894415528509,0.7296160058174621
SVC(kernel_rbf)(C_20),0.7103827161382864,0.6076318178745437,0.6546363898703902
SVC(kernel_rbf)(C_20),0.7605631895094482,0.833950749048131,0.7954042098456966
SVC(kernel_rbf)(C_20),0.7437103275544945,0.7437103275544945,0.7437103275544945
SVC(kernel_rbf)(C_20),0.7354729528238674,0.7207912834613374,0.7250202998580434
SVC(kernel_rbf)(C_20),0.7414883851310827,0.7437103275544945,0.7397371033023862
SVC(kernel_rbf)(C_30),0.6940027041381398,0.6178018751306664,0.6534034210795175
SVC(kernel_rbf)(C_30),0.7616518404018164,0.8176495121270746,0.7885115506642311
SVC(kernel_rbf)(C_30),0.7379697100144798,0.7379697100144798,0.7379697100144798
SVC(kernel_rbf)(C_30),0.727827272269978,0.7177256936288705,0.7209574858718744
SVC(kernel_rbf)(C_30),0.7355520732430165,0.7379697100144798,0.7350751238046075
SVC(kernel_rbf)(C_40),0.696829090036174,0.6310801731967379,0.6620058867373426
SVC(kernel_rbf)(C_40),0.7675685908698138,0.8163468757256304,0.7910389943280005
SVC(kernel_rbf)(C_40),0.7423253629710798,0.7423253629710798,0.7423253629710798
SVC(kernel_rbf)(C_40),0.732198840452994,0.7237135244611841,0.7265224405326716
SVC(kernel_rbf)(C_40),0.7402612093337296,0.7423253629710798,0.7399564920746432
SVC(kernel_rbf)(C_50),0.6936277366733739,0.6396622927294664,0.6652989389523365
SVC(kernel_rbf)(C_50),0.7704157842689792,0.8108708855207928,0.7899856899250515
SVC(kernel_rbf)(C_50),0.7425245568035065,0.7425245568035065,0.7425245568035065
SVC(kernel_rbf)(C_50),0.7320217604711765,0.7252665891251295,0.727642314438694
SVC(kernel_rbf)(C_50),0.7405927404944058,0.7425245568035065,0.7406209794876201
SVC(kernel_rbf)(C_60),0.6924165841576108,0.6526590965450471,0.6716815533395788
SVC(kernel_rbf)(C_60),0.7756502185354848,0.8058574844367057,0.790324296870972
SVC(kernel_rbf)(C_60),0.7447016005948421,0.7447016005948421,0.7447016005948421
SVC(kernel_rbf)(C_60),0.7340334013465477,0.7292582904908763,0.7310029251052754
SVC(kernel_rbf)(C_60),0.7432384240617179,0.7447016005948421,0.7433667335197687
SVC(kernel_rbf)(C_70),0.6874340168075967,0.6540612327209805,0.6700394341642782
SVC(kernel_rbf)(C_70),0.7753500946456373,0.8009162755820881,0.7877779946449593
SVC(kernel_rbf)(C_70),0.7423273196884905,0.7423273196884905,0.7423273196884905
SVC(kernel_rbf)(C_70),0.731392055726617,0.7274887541515344,0.7289087144046189
SVC(kernel_rbf)(C_70),0.7410713888977254,0.7423273196884905,0.7412004829181524
SVC(kernel_rbf)(C_80),0.6814281773954616,0.6539836809273162,0.6670613257293583
SVC(kernel_rbf)(C_80),0.7741884830207197,0.7954837265846774,0.7845095004946715
SVC(kernel_rbf)(C_80),0.7389613743983094,0.7389613743983094,0.7389613743983094
SVC(kernel_rbf)(C_80),0.7278083302080907,0.7247337037559968,0.7257854131120148
SVC(kernel_rbf)(C_80),0.7380771615509003,0.7389613743983094,0.7380634412386847
SVC(kernel_rbf)(C_90),0.6789125848541604,0.6543906321544599,0.6660009529643621
SVC(kernel_rbf)(C_90),0.7738670069397633,0.7928366162943941,0.7830376101084441
SVC(kernel_rbf)(C_90),0.7375775838453411,0.7375775838453411,0.7375775838453411
SVC(kernel_rbf)(C_90),0.7263897958969618,0.723613624224427,0.7245192815364031
SVC(kernel_rbf)(C_90),0.7368712507320405,0.7375775838453411,0.7367770375396636
SVC(kernel_rbf)(C_100),0.6778415180318171,0.6541461243963239,0.6654771686918016
SVC(kernel_rbf)(C_100),0.7735002748194358,0.7918210697312595,0.7824044203165317
SVC(kernel_rbf)(C_100),0.7369823504089539,0.7369823504089539,0.7369823504089539
SVC(kernel_rbf)(C_100),0.7256708964256264,0.7229835970637917,0.7239407945041666
SVC(kernel_rbf)(C_100),0.7362058059777833,0.7369823504089539,0.7362335995262618
