Model,precision,recall,f1-score
SVC(kernel_rbf)(C_1),0.805960248,0.312370521,0.449158478
SVC(kernel_rbf)(C_1),0.673786218,0.94943503,0.787724795
SVC(kernel_rbf)(C_1),0.693853951,0.693853951,0.693853951
SVC(kernel_rbf)(C_1),0.739873233,0.630902775,0.618441636
SVC(kernel_rbf)(C_1),0.728305772,0.693853951,0.65240113
SVC(kernel_rbf)(C_10),0.7182501,0.562806499,0.630552254
SVC(kernel_rbf)(C_10),0.744652359,0.852472242,0.794661613
SVC(kernel_rbf)(C_10),0.736589442,0.736589442,0.736589442
SVC(kernel_rbf)(C_10),0.731451229,0.70763937,0.712606934
SVC(kernel_rbf)(C_10),0.735368915,0.736589442,0.729616006
SVC(kernel_rbf)(C_20),0.710382716,0.607631818,0.65463639
SVC(kernel_rbf)(C_20),0.76056319,0.833950749,0.79540421
SVC(kernel_rbf)(C_20),0.743710328,0.743710328,0.743710328
SVC(kernel_rbf)(C_20),0.735472953,0.720791283,0.7250203
SVC(kernel_rbf)(C_20),0.741488385,0.743710328,0.739737103
SVC(kernel_rbf)(C_30),0.694002704,0.617801875,0.653403421
SVC(kernel_rbf)(C_30),0.76165184,0.817649512,0.788511551
SVC(kernel_rbf)(C_30),0.73796971,0.73796971,0.73796971
SVC(kernel_rbf)(C_30),0.727827272,0.717725694,0.720957486
SVC(kernel_rbf)(C_30),0.735552073,0.73796971,0.735075124
SVC(kernel_rbf)(C_40),0.69682909,0.631080173,0.662005887
SVC(kernel_rbf)(C_40),0.767568591,0.816346876,0.791038994
SVC(kernel_rbf)(C_40),0.742325363,0.742325363,0.742325363
SVC(kernel_rbf)(C_40),0.73219884,0.723713524,0.726522441
SVC(kernel_rbf)(C_40),0.740261209,0.742325363,0.739956492
SVC(kernel_rbf)(C_50),0.693627737,0.639662293,0.665298939
SVC(kernel_rbf)(C_50),0.770415784,0.810870886,0.78998569
SVC(kernel_rbf)(C_50),0.742524557,0.742524557,0.742524557
SVC(kernel_rbf)(C_50),0.73202176,0.725266589,0.727642314
SVC(kernel_rbf)(C_50),0.74059274,0.742524557,0.740620979
SVC(kernel_rbf)(C_60),0.692416584,0.652659097,0.671681553
SVC(kernel_rbf)(C_60),0.775650219,0.805857484,0.790324297
SVC(kernel_rbf)(C_60),0.744701601,0.744701601,0.744701601
SVC(kernel_rbf)(C_60),0.734033401,0.72925829,0.731002925
SVC(kernel_rbf)(C_60),0.743238424,0.744701601,0.743366734
SVC(kernel_rbf)(C_70),0.687434017,0.654061233,0.670039434
SVC(kernel_rbf)(C_70),0.775350095,0.800916276,0.787777995
SVC(kernel_rbf)(C_70),0.74232732,0.74232732,0.74232732
SVC(kernel_rbf)(C_70),0.731392056,0.727488754,0.728908714
SVC(kernel_rbf)(C_70),0.741071389,0.74232732,0.741200483
SVC(kernel_rbf)(C_80),0.681428177,0.653983681,0.667061326
SVC(kernel_rbf)(C_80),0.774188483,0.795483727,0.7845095
SVC(kernel_rbf)(C_80),0.738961374,0.738961374,0.738961374
SVC(kernel_rbf)(C_80),0.72780833,0.724733704,0.725785413
SVC(kernel_rbf)(C_80),0.738077162,0.738961374,0.738063441
SVC(kernel_rbf)(C_90),0.678912585,0.654390632,0.666000953
SVC(kernel_rbf)(C_90),0.773867007,0.792836616,0.78303761
SVC(kernel_rbf)(C_90),0.737577584,0.737577584,0.737577584
SVC(kernel_rbf)(C_90),0.726389796,0.723613624,0.724519282
SVC(kernel_rbf)(C_90),0.736871251,0.737577584,0.736777038
SVC(kernel_rbf)(C_100),0.677841518,0.654146124,0.665477169
SVC(kernel_rbf)(C_100),0.773500275,0.79182107,0.78240442
SVC(kernel_rbf)(C_100),0.73698235,0.73698235,0.73698235
SVC(kernel_rbf)(C_100),0.725670896,0.722983597,0.723940795
SVC(kernel_rbf)(C_100),0.736205806,0.73698235,0.7362336
